Region,Age,Gender,Smoke,BMI,Risk,SBP
Eastern Sub-Saharan Africa,45-49,M,Non-smoker,<20,5,160-179
Eastern Sub-Saharan Africa,45-49,M,Non-smoker,<20,3,140-159
Eastern Sub-Saharan Africa,45-49,M,Non-smoker,<20,2,120-139
Eastern Sub-Saharan Africa,45-49,M,Non-smoker,<20,2,<120
Eastern Sub-Saharan Africa,40-44,M,Non-smoker,<20,5,>=180
Eastern Sub-Saharan Africa,40-44,M,Non-smoker,<20,4,160-179
Eastern Sub-Saharan Africa,40-44,M,Non-smoker,<20,2,140-159
Eastern Sub-Saharan Africa,40-44,M,Non-smoker,<20,2,120-139
Eastern Sub-Saharan Africa,40-44,M,Non-smoker,<20,1,<120
Southern Sub-Saharan Africa,70-74,M,Non-smoker,<20,23,>=180
Southern Sub-Saharan Africa,70-74,M,Non-smoker,<20,19,160-179
Southern Sub-Saharan Africa,70-74,M,Non-smoker,<20,15,140-159
Southern Sub-Saharan Africa,70-74,M,Non-smoker,<20,12,120-139
Southern Sub-Saharan Africa,70-74,M,Non-smoker,<20,10,<120
Southern Sub-Saharan Africa,65-69,M,Non-smoker,<20,18,>=180
Southern Sub-Saharan Africa,65-69,M,Non-smoker,<20,14,160-179
Southern Sub-Saharan Africa,65-69,M,Non-smoker,<20,11,140-159
Southern Sub-Saharan Africa,65-69,M,Non-smoker,<20,9,120-139
Southern Sub-Saharan Africa,65-69,M,Non-smoker,<20,7,<120
Southern Sub-Saharan Africa,60-64,M,Non-smoker,<20,14,>=180
Southern Sub-Saharan Africa,60-64,M,Non-smoker,<20,11,160-179
Southern Sub-Saharan Africa,60-64,M,Non-smoker,<20,8,140-159
Southern Sub-Saharan Africa,60-64,M,Non-smoker,<20,6,120-139
Southern Sub-Saharan Africa,60-64,M,Non-smoker,<20,5,<120
Southern Sub-Saharan Africa,55-59,M,Non-smoker,<20,10,>=180
Southern Sub-Saharan Africa,55-59,M,Non-smoker,<20,8,160-179
Southern Sub-Saharan Africa,55-59,M,Non-smoker,<20,6,140-159
Southern Sub-Saharan Africa,55-59,M,Non-smoker,<20,4,120-139
Southern Sub-Saharan Africa,55-59,M,Non-smoker,<20,3,<120
Southern Sub-Saharan Africa,50-54,M,Non-smoker,<20,8,>=180
Southern Sub-Saharan Africa,50-54,M,Non-smoker,<20,6,160-179
Southern Sub-Saharan Africa,50-54,M,Non-smoker,<20,4,140-159
Southern Sub-Saharan Africa,50-54,M,Non-smoker,<20,3,120-139
Southern Sub-Saharan Africa,50-54,M,Non-smoker,<20,2,<120
Southern Sub-Saharan Africa,45-49,M,Non-smoker,<20,6,>=180
Southern Sub-Saharan Africa,45-49,M,Non-smoker,<20,4,160-179
Southern Sub-Saharan Africa,45-49,M,Non-smoker,<20,3,140-159
Southern Sub-Saharan Africa,45-49,M,Non-smoker,<20,2,120-139
Southern Sub-Saharan Africa,45-49,M,Non-smoker,<20,2,<120
Southern Sub-Saharan Africa,40-44,M,Non-smoker,<20,5,>=180
Southern Sub-Saharan Africa,40-44,M,Non-smoker,<20,3,160-179
Southern Sub-Saharan Africa,40-44,M,Non-smoker,<20,2,140-159
Southern Sub-Saharan Africa,40-44,M,Non-smoker,<20,2,120-139
Southern Sub-Saharan Africa,40-44,M,Non-smoker,<20,1,<120
Western Sub-Saharan Africa,70-74,M,Non-smoker,<20,23,>=180
Western Sub-Saharan Africa,70-74,M,Non-smoker,<20,19,160-179
Western Sub-Saharan Africa,70-74,M,Non-smoker,<20,15,140-159
Western Sub-Saharan Africa,70-74,M,Non-smoker,<20,12,120-139
Western Sub-Saharan Africa,70-74,M,Non-smoker,<20,10,<120
Western Sub-Saharan Africa,65-69,M,Non-smoker,<20,17,>=180
Western Sub-Saharan Africa,65-69,M,Non-smoker,<20,14,160-179
Western Sub-Saharan Africa,65-69,M,Non-smoker,<20,11,140-159
Western Sub-Saharan Africa,65-69,M,Non-smoker,<20,9,120-139
Western Sub-Saharan Africa,65-69,M,Non-smoker,<20,7,<120
Western Sub-Saharan Africa,60-64,M,Non-smoker,<20,13,>=180
Western Sub-Saharan Africa,60-64,M,Non-smoker,<20,10,160-179
Western Sub-Saharan Africa,60-64,M,Non-smoker,<20,8,140-159
Western Sub-Saharan Africa,60-64,M,Non-smoker,<20,6,120-139
Western Sub-Saharan Africa,60-64,M,Non-smoker,<20,5,<120
Western Sub-Saharan Africa,55-59,M,Non-smoker,<20,10,>=180
Western Sub-Saharan Africa,55-59,M,Non-smoker,<20,8,160-179
Western Sub-Saharan Africa,55-59,M,Non-smoker,<20,6,140-159
Western Sub-Saharan Africa,55-59,M,Non-smoker,<20,4,120-139
Western Sub-Saharan Africa,55-59,M,Non-smoker,<20,3,<120
Western Sub-Saharan Africa,50-54,M,Non-smoker,<20,8,>=180
Western Sub-Saharan Africa,50-54,M,Non-smoker,<20,6,160-179
Western Sub-Saharan Africa,50-54,M,Non-smoker,<20,4,140-159
Western Sub-Saharan Africa,50-54,M,Non-smoker,<20,3,120-139
Western Sub-Saharan Africa,50-54,M,Non-smoker,<20,2,<120
Western Sub-Saharan Africa,45-49,M,Non-smoker,<20,6,>=180
Western Sub-Saharan Africa,45-49,M,Non-smoker,<20,4,160-179
Western Sub-Saharan Africa,45-49,M,Non-smoker,<20,3,140-159
Western Sub-Saharan Africa,45-49,M,Non-smoker,<20,2,120-139
Western Sub-Saharan Africa,45-49,M,Non-smoker,<20,1,<120
Western Sub-Saharan Africa,40-44,M,Non-smoker,<20,5,>=180
Western Sub-Saharan Africa,40-44,M,Non-smoker,<20,3,160-179
Western Sub-Saharan Africa,40-44,M,Non-smoker,<20,2,140-159
Western Sub-Saharan Africa,40-44,M,Non-smoker,<20,1,120-139
Western Sub-Saharan Africa,40-44,M,Non-smoker,<20,1,<120
Southern Latin America,70-74,M,Non-smoker,<20,26,>=180
Southern Latin America,70-74,M,Non-smoker,<20,21,160-179
Southern Latin America,70-74,M,Non-smoker,<20,18,140-159
Southern Latin America,70-74,M,Non-smoker,<20,15,120-139
Southern Latin America,70-74,M,Non-smoker,<20,12,<120
Southern Latin America,65-69,M,Non-smoker,<20,20,>=180
Southern Latin America,65-69,M,Non-smoker,<20,16,160-179
Southern Latin America,65-69,M,Non-smoker,<20,13,140-159
Southern Latin America,65-69,M,Non-smoker,<20,11,120-139
Southern Latin America,65-69,M,Non-smoker,<20,8,<120
Southern Latin America,60-64,M,Non-smoker,<20,16,>=180
Southern Latin America,60-64,M,Non-smoker,<20,12,160-179
Southern Latin America,60-64,M,Non-smoker,<20,10,140-159
Southern Latin America,60-64,M,Non-smoker,<20,8,120-139
Southern Latin America,60-64,M,Non-smoker,<20,6,<120
Southern Latin America,55-59,M,Non-smoker,<20,12,>=180
Southern Latin America,55-59,M,Non-smoker,<20,9,160-179
Southern Latin America,55-59,M,Non-smoker,<20,7,140-159
Southern Latin America,55-59,M,Non-smoker,<20,5,120-139
Southern Latin America,55-59,M,Non-smoker,<20,4,<120
Southern Latin America,50-54,M,Non-smoker,<20,9,>=180
Southern Latin America,50-54,M,Non-smoker,<20,7,160-179
Southern Latin America,50-54,M,Non-smoker,<20,5,140-159
Southern Latin America,50-54,M,Non-smoker,<20,4,120-139
Southern Latin America,50-54,M,Non-smoker,<20,3,<120
Southern Latin America,45-49,M,Non-smoker,<20,7,>=180
Southern Latin America,45-49,M,Non-smoker,<20,5,160-179
Southern Latin America,45-49,M,Non-smoker,<20,4,140-159
Southern Latin America,45-49,M,Non-smoker,<20,3,120-139
Southern Latin America,45-49,M,Non-smoker,<20,2,<120
Southern Latin America,40-44,M,Non-smoker,<20,5,>=180
Southern Latin America,40-44,M,Non-smoker,<20,4,160-179
Southern Latin America,40-44,M,Non-smoker,<20,3,140-159
Southern Latin America,40-44,M,Non-smoker,<20,2,120-139
Southern Latin America,40-44,M,Non-smoker,<20,1,<120
High-Income North America,70-74,M,Non-smoker,<20,31,>=180
High-Income North America,70-74,M,Non-smoker,<20,26,160-179
High-Income North America,70-74,M,Non-smoker,<20,22,140-159
High-Income North America,70-74,M,Non-smoker,<20,18,120-139
High-Income North America,70-74,M,Non-smoker,<20,15,<120
High-Income North America,65-69,M,Non-smoker,<20,25,>=180
High-Income North America,65-69,M,Non-smoker,<20,20,160-179
High-Income North America,65-69,M,Non-smoker,<20,17,140-159
High-Income North America,65-69,M,Non-smoker,<20,14,120-139
High-Income North America,65-69,M,Non-smoker,<20,11,<120
High-Income North America,60-64,M,Non-smoker,<20,20,>=180
High-Income North America,60-64,M,Non-smoker,<20,16,160-179
High-Income North America,60-64,M,Non-smoker,<20,13,140-159
High-Income North America,60-64,M,Non-smoker,<20,10,120-139
High-Income North America,60-64,M,Non-smoker,<20,8,<120
High-Income North America,55-59,M,Non-smoker,<20,15,>=180
High-Income North America,55-59,M,Non-smoker,<20,12,160-179
High-Income North America,55-59,M,Non-smoker,<20,9,140-159
High-Income North America,55-59,M,Non-smoker,<20,7,120-139
High-Income North America,55-59,M,Non-smoker,<20,6,<120
High-Income North America,50-54,M,Non-smoker,<20,12,>=180
High-Income North America,50-54,M,Non-smoker,<20,9,160-179
High-Income North America,50-54,M,Non-smoker,<20,7,140-159
High-Income North America,50-54,M,Non-smoker,<20,5,120-139
High-Income North America,50-54,M,Non-smoker,<20,4,<120
High-Income North America,45-49,M,Non-smoker,<20,9,>=180
High-Income North America,45-49,M,Non-smoker,<20,7,160-179
High-Income North America,45-49,M,Non-smoker,<20,5,140-159
High-Income North America,45-49,M,Non-smoker,<20,4,120-139
High-Income North America,45-49,M,Non-smoker,<20,3,<120
High-Income North America,40-44,M,Non-smoker,<20,7,>=180
High-Income North America,40-44,M,Non-smoker,<20,5,160-179
High-Income North America,40-44,M,Non-smoker,<20,4,140-159
High-Income North America,40-44,M,Non-smoker,<20,3,120-139
High-Income North America,40-44,M,Non-smoker,<20,2,<120
Caribbean,70-74,M,Non-smoker,<20,23,>=180
Caribbean,70-74,M,Non-smoker,<20,19,160-179
Caribbean,70-74,M,Non-smoker,<20,15,140-159
Caribbean,70-74,M,Non-smoker,<20,13,120-139
Caribbean,70-74,M,Non-smoker,<20,10,<120
Caribbean,65-69,M,Non-smoker,<20,11,>=180
Caribbean,65-69,M,Non-smoker,<20,14,160-179
Caribbean,65-69,M,Non-smoker,<20,11,140-159
Caribbean,65-69,M,Non-smoker,<20,9,120-139
Caribbean,65-69,M,Non-smoker,<20,7,<120
Caribbean,60-64,M,Non-smoker,<20,14,>=180
Caribbean,60-64,M,Non-smoker,<20,11,160-179
Caribbean,60-64,M,Non-smoker,<20,8,140-159
Caribbean,60-64,M,Non-smoker,<20,6,120-139
Caribbean,60-64,M,Non-smoker,<20,5,<120
Caribbean,55-59,M,Non-smoker,<20,10,>=180
Caribbean,55-59,M,Non-smoker,<20,8,160-179
Caribbean,55-59,M,Non-smoker,<20,6,140-159
Caribbean,55-59,M,Non-smoker,<20,4,120-139
Caribbean,55-59,M,Non-smoker,<20,3,<120
Caribbean,50-54,M,Non-smoker,<20,8,>=180
Caribbean,50-54,M,Non-smoker,<20,6,160-179
Caribbean,50-54,M,Non-smoker,<20,4,140-159
Caribbean,50-54,M,Non-smoker,<20,3,120-139
Caribbean,50-54,M,Non-smoker,<20,2,<120
Caribbean,45-49,M,Non-smoker,<20,6,>=180
Caribbean,45-49,M,Non-smoker,<20,4,160-179
Caribbean,45-49,M,Non-smoker,<20,3,140-159
Caribbean,45-49,M,Non-smoker,<20,2,120-139
Caribbean,45-49,M,Non-smoker,<20,2,<120
Caribbean,40-44,M,Non-smoker,<20,5,>=180
Caribbean,40-44,M,Non-smoker,<20,3,160-179
Caribbean,40-44,M,Non-smoker,<20,2,140-159
Caribbean,40-44,M,Non-smoker,<20,2,120-139
Caribbean,40-44,M,Non-smoker,<20,1,<120
Andean Latin America,70-74,M,Non-smoker,<20,18,>=180
Andean Latin America,70-74,M,Non-smoker,<20,14,160-179
Andean Latin America,70-74,M,Non-smoker,<20,12,140-159
Andean Latin America,70-74,M,Non-smoker,<20,10,120-139
Andean Latin America,70-74,M,Non-smoker,<20,8,<120
Andean Latin America,65-69,M,Non-smoker,<20,14,>=180
Andean Latin America,65-69,M,Non-smoker,<20,11,160-179
Andean Latin America,65-69,M,Non-smoker,<20,9,140-159
Andean Latin America,65-69,M,Non-smoker,<20,7,120-139
Andean Latin America,65-69,M,Non-smoker,<20,6,<120
Andean Latin America,60-64,M,Non-smoker,<20,11,>=180
Andean Latin America,60-64,M,Non-smoker,<20,8,160-179
Andean Latin America,60-64,M,Non-smoker,<20,7,140-159
Andean Latin America,60-64,M,Non-smoker,<20,5,120-139
Andean Latin America,60-64,M,Non-smoker,<20,4,<120
Andean Latin America,55-59,M,Non-smoker,<20,8,>=180
Andean Latin America,55-59,M,Non-smoker,<20,6,160-179
Andean Latin America,55-59,M,Non-smoker,<20,5,140-159
Andean Latin America,55-59,M,Non-smoker,<20,4,120-139
Andean Latin America,55-59,M,Non-smoker,<20,3,<120
Andean Latin America,50-54,M,Non-smoker,<20,6,>=180
Andean Latin America,50-54,M,Non-smoker,<20,5,160-179
Andean Latin America,50-54,M,Non-smoker,<20,4,140-159
Andean Latin America,50-54,M,Non-smoker,<20,3,120-139
Andean Latin America,50-54,M,Non-smoker,<20,2,<120
Andean Latin America,45-49,M,Non-smoker,<20,5,>=180
Andean Latin America,45-49,M,Non-smoker,<20,4,160-179
Andean Latin America,45-49,M,Non-smoker,<20,3,140-159
Andean Latin America,45-49,M,Non-smoker,<20,2,120-139
Andean Latin America,45-49,M,Non-smoker,<20,1,<120
Andean Latin America,40-44,M,Non-smoker,<20,4,>=180
Andean Latin America,40-44,M,Non-smoker,<20,3,160-179
Andean Latin America,40-44,M,Non-smoker,<20,2,140-159
Andean Latin America,40-44,M,Non-smoker,<20,1,120-139
Andean Latin America,40-44,M,Non-smoker,<20,1,<120
Central Latin America,70-74,M,Non-smoker,<20,20,>=180
Central Latin America,70-74,M,Non-smoker,<20,16,160-179
Central Latin America,70-74,M,Non-smoker,<20,13,140-159
Central Latin America,70-74,M,Non-smoker,<20,11,120-139
Central Latin America,70-74,M,Non-smoker,<20,9,<120
Central Latin America,65-69,M,Non-smoker,<20,15,>=180
Central Latin America,65-69,M,Non-smoker,<20,12,160-179
Central Latin America,65-69,M,Non-smoker,<20,10,140-159
Central Latin America,65-69,M,Non-smoker,<20,8,120-139
Central Latin America,65-69,M,Non-smoker,<20,6,<120
Central Latin America,60-64,M,Non-smoker,<20,11,>=180
Central Latin America,60-64,M,Non-smoker,<20,9,160-179
Central Latin America,60-64,M,Non-smoker,<20,7,140-159
Central Latin America,60-64,M,Non-smoker,<20,5,120-139
Central Latin America,60-64,M,Non-smoker,<20,4,<120
Central Latin America,55-59,M,Non-smoker,<20,9,>=180
Central Latin America,55-59,M,Non-smoker,<20,7,160-179
Central Latin America,55-59,M,Non-smoker,<20,5,140-159
Central Latin America,55-59,M,Non-smoker,<20,4,120-139
Central Latin America,55-59,M,Non-smoker,<20,3,<120
Central Latin America,50-54,M,Non-smoker,<20,7,>=180
Central Latin America,50-54,M,Non-smoker,<20,5,160-179
Central Latin America,50-54,M,Non-smoker,<20,4,140-159
Central Latin America,50-54,M,Non-smoker,<20,3,120-139
Central Latin America,50-54,M,Non-smoker,<20,2,<120
Central Latin America,45-49,M,Non-smoker,<20,5,>=180
Central Latin America,45-49,M,Non-smoker,<20,4,160-179
Central Latin America,45-49,M,Non-smoker,<20,3,140-159
Central Latin America,45-49,M,Non-smoker,<20,2,120-139
Central Latin America,45-49,M,Non-smoker,<20,1,<120
Central Latin America,40-44,M,Non-smoker,<20,4,>=180
Central Latin America,40-44,M,Non-smoker,<20,3,160-179
Central Latin America,40-44,M,Non-smoker,<20,2,140-159
Central Latin America,40-44,M,Non-smoker,<20,1,120-139
Central Latin America,40-44,M,Non-smoker,<20,1,<120
Tropical Latin America,70-74,M,Non-smoker,<20,20,>=180
Tropical Latin America,70-74,M,Non-smoker,<20,16,160-179
Tropical Latin America,70-74,M,Non-smoker,<20,13,140-159
Tropical Latin America,70-74,M,Non-smoker,<20,11,120-139
Tropical Latin America,70-74,M,Non-smoker,<20,9,<120
Tropical Latin America,65-69,M,Non-smoker,<20,15,>=180
Tropical Latin America,65-69,M,Non-smoker,<20,13,160-179
Tropical Latin America,65-69,M,Non-smoker,<20,10,140-159
Tropical Latin America,65-69,M,Non-smoker,<20,8,120-139
Tropical Latin America,65-69,M,Non-smoker,<20,7,<120
Tropical Latin America,60-64,M,Non-smoker,<20,12,>=180
Tropical Latin America,60-64,M,Non-smoker,<20,10,160-179
Tropical Latin America,60-64,M,Non-smoker,<20,8,140-159
Tropical Latin America,60-64,M,Non-smoker,<20,6,120-139
Tropical Latin America,60-64,M,Non-smoker,<20,5,<120
Tropical Latin America,55-59,M,Non-smoker,<20,10,>=180
Tropical Latin America,55-59,M,Non-smoker,<20,7,160-179
Tropical Latin America,55-59,M,Non-smoker,<20,6,140-159
Tropical Latin America,55-59,M,Non-smoker,<20,4,120-139
Tropical Latin America,55-59,M,Non-smoker,<20,3,<120
Tropical Latin America,50-54,M,Non-smoker,<20,8,>=180
Tropical Latin America,50-54,M,Non-smoker,<20,6,160-179
Tropical Latin America,50-54,M,Non-smoker,<20,4,140-159
Tropical Latin America,50-54,M,Non-smoker,<20,3,120-139
Tropical Latin America,50-54,M,Non-smoker,<20,2,<120
Tropical Latin America,45-49,M,Non-smoker,<20,6,>=180
Tropical Latin America,45-49,M,Non-smoker,<20,4,160-179
Tropical Latin America,45-49,M,Non-smoker,<20,3,140-159
Tropical Latin America,45-49,M,Non-smoker,<20,2,120-139
Tropical Latin America,45-49,M,Non-smoker,<20,2,<120
Tropical Latin America,40-44,M,Non-smoker,<20,5,>=180
Tropical Latin America,40-44,M,Non-smoker,<20,3,160-179
Tropical Latin America,40-44,M,Non-smoker,<20,2,140-159
Tropical Latin America,40-44,M,Non-smoker,<20,2,120-139
Tropical Latin America,40-44,M,Non-smoker,<20,1,<120
East Asia,70-74,M,Non-smoker,<20,34,>=180
East Asia,70-74,M,Non-smoker,<20,28,160-179
East Asia,70-74,M,Non-smoker,<20,23,140-159
East Asia,70-74,M,Non-smoker,<20,18,120-139
East Asia,70-74,M,Non-smoker,<20,15,<120
East Asia,65-69,M,Non-smoker,<20,27,>=180
East Asia,65-69,M,Non-smoker,<20,21,160-179
East Asia,65-69,M,Non-smoker,<20,17,140-159
East Asia,65-69,M,Non-smoker,<20,13,120-139
East Asia,65-69,M,Non-smoker,<20,10,<120
East Asia,60-64,M,Non-smoker,<20,21,>=180
East Asia,60-64,M,Non-smoker,<20,16,160-179
East Asia,60-64,M,Non-smoker,<20,12,140-159
East Asia,60-64,M,Non-smoker,<20,9,120-139
East Asia,60-64,M,Non-smoker,<20,7,<120
East Asia,55-59,M,Non-smoker,<20,17,>=180
East Asia,55-59,M,Non-smoker,<20,12,160-179
East Asia,55-59,M,Non-smoker,<20,9,140-159
East Asia,55-59,M,Non-smoker,<20,7,120-139
East Asia,55-59,M,Non-smoker,<20,5,<120
East Asia,50-54,M,Non-smoker,<20,13,>=180
East Asia,50-54,M,Non-smoker,<20,9,160-179
East Asia,50-54,M,Non-smoker,<20,7,140-159
East Asia,50-54,M,Non-smoker,<20,5,120-139
East Asia,50-54,M,Non-smoker,<20,3,<120
East Asia,45-49,M,Non-smoker,<20,10,>=180
East Asia,45-49,M,Non-smoker,<20,7,160-179
East Asia,45-49,M,Non-smoker,<20,5,140-159
East Asia,45-49,M,Non-smoker,<20,3,120-139
East Asia,45-49,M,Non-smoker,<20,2,<120
East Asia,40-44,M,Non-smoker,<20,8,>=180
East Asia,40-44,M,Non-smoker,<20,5,160-179
East Asia,40-44,M,Non-smoker,<20,3,140-159
East Asia,40-44,M,Non-smoker,<20,2,120-139
East Asia,40-44,M,Non-smoker,<20,2,<120
South Asia,70-74,M,Non-smoker,<20,24,>=180
South Asia,70-74,M,Non-smoker,<20,20,160-179
South Asia,70-74,M,Non-smoker,<20,17,140-159
South Asia,70-74,M,Non-smoker,<20,14,120-139
South Asia,70-74,M,Non-smoker,<20,11,<120
South Asia,65-69,M,Non-smoker,<20,19,>=180
South Asia,65-69,M,Non-smoker,<20,15,160-179
South Asia,65-69,M,Non-smoker,<20,12,140-159
South Asia,65-69,M,Non-smoker,<20,10,120-139
South Asia,65-69,M,Non-smoker,<20,8,<120
South Asia,60-64,M,Non-smoker,<20,15,>=180
South Asia,60-64,M,Non-smoker,<20,12,160-179
South Asia,60-64,M,Non-smoker,<20,9,140-159
South Asia,60-64,M,Non-smoker,<20,7,120-139
South Asia,60-64,M,Non-smoker,<20,6,<120
South Asia,55-59,M,Non-smoker,<20,11,>=180
South Asia,55-59,M,Non-smoker,<20,9,160-179
South Asia,55-59,M,Non-smoker,<20,7,140-159
South Asia,55-59,M,Non-smoker,<20,5,120-139
South Asia,55-59,M,Non-smoker,<20,4,<120
South Asia,50-54,M,Non-smoker,<20,9,>=180
South Asia,50-54,M,Non-smoker,<20,7,160-179
