Region,Age,DM,Gender,Smoke,CHOL,Risk,SBP
North Afrika and Middle East,40-44,No,M,Non-smoker,<4,8,>=180
North Afrika and Middle East,40-44,No,M,Non-smoker,<4,6,160-179
North Afrika and Middle East,40-44,No,M,Non-smoker,<4,4,140-159
North Afrika and Middle East,40-44,No,M,Non-smoker,<4,3,120-139
North Afrika and Middle East,40-44,No,M,Non-smoker,<4,2,<120
North Afrika and Middle East,70-74,Yes,M,Non-smoker,<4,47,>=180
North Afrika and Middle East,70-74,Yes,M,Non-smoker,<4,40,160-179
North Afrika and Middle East,70-74,Yes,M,Non-smoker,<4,34,140-159
North Afrika and Middle East,70-74,Yes,M,Non-smoker,<4,29,120-139
North Afrika and Middle East,70-74,Yes,M,Non-smoker,<4,24,<120
North Afrika and Middle East,65-69,Yes,M,Non-smoker,<4,40,>=180
North Afrika and Middle East,65-69,Yes,M,Non-smoker,<4,34,160-179
North Afrika and Middle East,65-69,Yes,M,Non-smoker,<4,28,140-159
North Afrika and Middle East,65-69,Yes,M,Non-smoker,<4,23,120-139
North Afrika and Middle East,65-69,Yes,M,Non-smoker,<4,18,<120
North Afrika and Middle East,60-64,Yes,M,Non-smoker,<4,34,>=180
North Afrika and Middle East,60-64,Yes,M,Non-smoker,<4,28,160-179
North Afrika and Middle East,60-64,Yes,M,Non-smoker,<4,22,140-159
North Afrika and Middle East,60-64,Yes,M,Non-smoker,<4,18,120-139
North Afrika and Middle East,60-64,Yes,M,Non-smoker,<4,14,<120
North Afrika and Middle East,55-59,Yes,M,Non-smoker,<4,29,>=180
North Afrika and Middle East,55-59,Yes,M,Non-smoker,<4,23,160-179
North Afrika and Middle East,55-59,Yes,M,Non-smoker,<4,18,140-159
North Afrika and Middle East,55-59,Yes,M,Non-smoker,<4,14,120-139
North Afrika and Middle East,55-59,Yes,M,Non-smoker,<4,11,<120
North Afrika and Middle East,50-54,Yes,M,Non-smoker,<4,24,>=180
North Afrika and Middle East,50-54,Yes,M,Non-smoker,<4,18,160-179
North Afrika and Middle East,50-54,Yes,M,Non-smoker,<4,14,140-159
North Afrika and Middle East,50-54,Yes,M,Non-smoker,<4,11,120-139
North Afrika and Middle East,50-54,Yes,M,Non-smoker,<4,8,<120
North Afrika and Middle East,45-49,Yes,M,Non-smoker,<4,20,>=180
North Afrika and Middle East,45-49,Yes,M,Non-smoker,<4,15,160-179
North Afrika and Middle East,45-49,Yes,M,Non-smoker,<4,11,140-159
North Afrika and Middle East,45-49,Yes,M,Non-smoker,<4,8,120-139
North Afrika and Middle East,45-49,Yes,M,Non-smoker,<4,6,<120
North Afrika and Middle East,40-44,Yes,M,Non-smoker,<4,17,>=180
North Afrika and Middle East,40-44,Yes,M,Non-smoker,<4,12,160-179
North Afrika and Middle East,40-44,Yes,M,Non-smoker,<4,9,140-159
North Afrika and Middle East,40-44,Yes,M,Non-smoker,<4,6,120-139
North Afrika and Middle East,40-44,Yes,M,Non-smoker,<4,5,<120
Central Sub-Saharan Africa,70-74,No,M,Non-smoker,<4,23,>=180
Central Sub-Saharan Africa,70-74,No,M,Non-smoker,<4,19,160-179
Central Sub-Saharan Africa,70-74,No,M,Non-smoker,<4,16,140-159
Central Sub-Saharan Africa,70-74,No,M,Non-smoker,<4,13,120-139
Central Sub-Saharan Africa,70-74,No,M,Non-smoker,<4,10,<120
Central Sub-Saharan Africa,65-69,No,M,Non-smoker,<4,18,>=180
Central Sub-Saharan Africa,65-69,No,M,Non-smoker,<4,14,160-179
Central Sub-Saharan Africa,65-69,No,M,Non-smoker,<4,12,140-159
Central Sub-Saharan Africa,65-69,No,M,Non-smoker,<4,9,120-139
Central Sub-Saharan Africa,65-69,No,M,Non-smoker,<4,7,<120
Central Sub-Saharan Africa,60-64,No,M,Non-smoker,<4,14,>=180
Central Sub-Saharan Africa,60-64,No,M,Non-smoker,<4,11,160-179
Central Sub-Saharan Africa,60-64,No,M,Non-smoker,<4,9,140-159
Central Sub-Saharan Africa,60-64,No,M,Non-smoker,<4,7,120-139
Central Sub-Saharan Africa,60-64,No,M,Non-smoker,<4,5,<120
Central Sub-Saharan Africa,55-59,No,M,Non-smoker,<4,11,>=180
Central Sub-Saharan Africa,55-59,No,M,Non-smoker,<4,8,160-179
Central Sub-Saharan Africa,55-59,No,M,Non-smoker,<4,6,140-159
Central Sub-Saharan Africa,55-59,No,M,Non-smoker,<4,5,120-139
Central Sub-Saharan Africa,55-59,No,M,Non-smoker,<4,4,<120
Central Sub-Saharan Africa,50-54,No,M,Non-smoker,<4,8,>=180
Central Sub-Saharan Africa,50-54,No,M,Non-smoker,<4,6,160-179
Central Sub-Saharan Africa,50-54,No,M,Non-smoker,<4,5,140-159
Central Sub-Saharan Africa,50-54,No,M,Non-smoker,<4,3,120-139
Central Sub-Saharan Africa,50-54,No,M,Non-smoker,<4,3,<120
Central Sub-Saharan Africa,45-49,No,M,Non-smoker,<4,6,>=180
Central Sub-Saharan Africa,45-49,No,M,Non-smoker,<4,5,160-179
Central Sub-Saharan Africa,45-49,No,M,Non-smoker,<4,3,140-159
Central Sub-Saharan Africa,45-49,No,M,Non-smoker,<4,2,120-139
Central Sub-Saharan Africa,45-49,No,M,Non-smoker,<4,2,<120
Central Sub-Saharan Africa,40-44,No,M,Non-smoker,<4,5,>=180
Central Sub-Saharan Africa,40-44,No,M,Non-smoker,<4,4,160-179
Central Sub-Saharan Africa,40-44,No,M,Non-smoker,<4,2,140-159
Central Sub-Saharan Africa,40-44,No,M,Non-smoker,<4,2,120-139
Central Sub-Saharan Africa,40-44,No,M,Non-smoker,<4,1,<120
Central Sub-Saharan Africa,70-74,Yes,M,Non-smoker,<4,31,>=180
Central Sub-Saharan Africa,70-74,Yes,M,Non-smoker,<4,25,160-179
Central Sub-Saharan Africa,70-74,Yes,M,Non-smoker,<4,21,140-159
Central Sub-Saharan Africa,70-74,Yes,M,Non-smoker,<4,17,120-139
Central Sub-Saharan Africa,70-74,Yes,M,Non-smoker,<4,14,<120
Central Sub-Saharan Africa,65-69,Yes,M,Non-smoker,<4,26,>=180
Central Sub-Saharan Africa,65-69,Yes,M,Non-smoker,<4,21,160-179
Central Sub-Saharan Africa,65-69,Yes,M,Non-smoker,<4,17,140-159
Central Sub-Saharan Africa,65-69,Yes,M,Non-smoker,<4,13,120-139
Central Sub-Saharan Africa,65-69,Yes,M,Non-smoker,<4,11,<120
Central Sub-Saharan Africa,60-64,Yes,M,Non-smoker,<4,21,>=180
Central Sub-Saharan Africa,60-64,Yes,M,Non-smoker,<4,17,160-179
Central Sub-Saharan Africa,60-64,Yes,M,Non-smoker,<4,13,140-159
Central Sub-Saharan Africa,60-64,Yes,M,Non-smoker,<4,10,120-139
Central Sub-Saharan Africa,60-64,Yes,M,Non-smoker,<4,8,<120
Central Sub-Saharan Africa,55-59,Yes,M,Non-smoker,<4,18,>=180
Central Sub-Saharan Africa,55-59,Yes,M,Non-smoker,<4,14,160-179
Central Sub-Saharan Africa,55-59,Yes,M,Non-smoker,<4,11,140-159
Central Sub-Saharan Africa,55-59,Yes,M,Non-smoker,<4,8,120-139
Central Sub-Saharan Africa,55-59,Yes,M,Non-smoker,<4,6,<120
Central Sub-Saharan Africa,50-54,Yes,M,Non-smoker,<4,15,>=180
Central Sub-Saharan Africa,50-54,Yes,M,Non-smoker,<4,11,160-179
Central Sub-Saharan Africa,50-54,Yes,M,Non-smoker,<4,8,140-159
Central Sub-Saharan Africa,50-54,Yes,M,Non-smoker,<4,6,120-139
Central Sub-Saharan Africa,50-54,Yes,M,Non-smoker,<4,5,<120
Central Sub-Saharan Africa,45-49,Yes,M,Non-smoker,<4,12,>=180
Central Sub-Saharan Africa,45-49,Yes,M,Non-smoker,<4,9,160-179
Central Sub-Saharan Africa,45-49,Yes,M,Non-smoker,<4,7,140-159
Central Sub-Saharan Africa,45-49,Yes,M,Non-smoker,<4,5,120-139
Central Sub-Saharan Africa,45-49,Yes,M,Non-smoker,<4,3,<120
Central Sub-Saharan Africa,40-44,Yes,M,Non-smoker,<4,10,>=180
Central Sub-Saharan Africa,40-44,Yes,M,Non-smoker,<4,7,160-179
Central Sub-Saharan Africa,40-44,Yes,M,Non-smoker,<4,5,140-159
Central Sub-Saharan Africa,40-44,Yes,M,Non-smoker,<4,4,120-139
Central Sub-Saharan Africa,40-44,Yes,M,Non-smoker,<4,3,<120
Eastern Sub-Saharan Africa,70-74,No,M,Non-smoker,<4,22,>=180
Eastern Sub-Saharan Africa,70-74,No,M,Non-smoker,<4,18,160-179
Eastern Sub-Saharan Africa,70-74,No,M,Non-smoker,<4,15,140-159
Eastern Sub-Saharan Africa,70-74,No,M,Non-smoker,<4,12,120-139
Eastern Sub-Saharan Africa,70-74,No,M,Non-smoker,<4,10,<120
Eastern Sub-Saharan Africa,65-69,No,M,Non-smoker,<4,18,>=180
Eastern Sub-Saharan Africa,65-69,No,M,Non-smoker,<4,14,160-179
Eastern Sub-Saharan Africa,65-69,No,M,Non-smoker,<4,11,140-159
Eastern Sub-Saharan Africa,65-69,No,M,Non-smoker,<4,9,120-139
Eastern Sub-Saharan Africa,65-69,No,M,Non-smoker,<4,7,<120
Eastern Sub-Saharan Africa,60-64,No,M,Non-smoker,<4,14,>=180
Eastern Sub-Saharan Africa,60-64,No,M,Non-smoker,<4,11,160-179
Eastern Sub-Saharan Africa,60-64,No,M,Non-smoker,<4,8,140-159
Eastern Sub-Saharan Africa,60-64,No,M,Non-smoker,<4,7,120-139
Eastern Sub-Saharan Africa,60-64,No,M,Non-smoker,<4,5,<120
Eastern Sub-Saharan Africa,55-59,No,M,Non-smoker,<4,11,>=180
Eastern Sub-Saharan Africa,55-59,No,M,Non-smoker,<4,8,160-179
Eastern Sub-Saharan Africa,55-59,No,M,Non-smoker,<4,6,140-159
Eastern Sub-Saharan Africa,55-59,No,M,Non-smoker,<4,5,120-139
Eastern Sub-Saharan Africa,55-59,No,M,Non-smoker,<4,4,<120
Eastern Sub-Saharan Africa,50-54,No,M,Non-smoker,<4,8,>=180
Eastern Sub-Saharan Africa,50-54,No,M,Non-smoker,<4,6,160-179
Eastern Sub-Saharan Africa,50-54,No,M,Non-smoker,<4,5,140-159
Eastern Sub-Saharan Africa,50-54,No,M,Non-smoker,<4,3,120-139
Eastern Sub-Saharan Africa,50-54,No,M,Non-smoker,<4,3,<120
Eastern Sub-Saharan Africa,45-49,No,M,Non-smoker,<4,6,>=180
Eastern Sub-Saharan Africa,45-49,No,M,Non-smoker,<4,5,160-179
Eastern Sub-Saharan Africa,45-49,No,M,Non-smoker,<4,3,140-159
Eastern Sub-Saharan Africa,45-49,No,M,Non-smoker,<4,2,120-139
Eastern Sub-Saharan Africa,45-49,No,M,Non-smoker,<4,4,<120
Eastern Sub-Saharan Africa,40-44,No,M,Non-smoker,<4,5,>=180
Eastern Sub-Saharan Africa,40-44,No,M,Non-smoker,<4,3,160-179
Eastern Sub-Saharan Africa,40-44,No,M,Non-smoker,<4,2,140-159
Eastern Sub-Saharan Africa,40-44,No,M,Non-smoker,<4,2,120-139
Eastern Sub-Saharan Africa,40-44,No,M,Non-smoker,<4,1,<120
Eastern Sub-Saharan Africa,70-74,Yes,M,Non-smoker,<4,30,>=180
Eastern Sub-Saharan Africa,70-74,Yes,M,Non-smoker,<4,25,160-179
Eastern Sub-Saharan Africa,70-74,Yes,M,Non-smoker,<4,20,140-159
Eastern Sub-Saharan Africa,70-74,Yes,M,Non-smoker,<4,17,120-139
Eastern Sub-Saharan Africa,70-74,Yes,M,Non-smoker,<4,14,<120
Eastern Sub-Saharan Africa,65-69,Yes,M,Non-smoker,<4,25,>=180
Eastern Sub-Saharan Africa,65-69,Yes,M,Non-smoker,<4,20,160-179
Eastern Sub-Saharan Africa,65-69,Yes,M,Non-smoker,<4,16,140-159
Eastern Sub-Saharan Africa,65-69,Yes,M,Non-smoker,<4,13,120-139
Eastern Sub-Saharan Africa,65-69,Yes,M,Non-smoker,<4,11,<120
Eastern Sub-Saharan Africa,60-64,Yes,M,Non-smoker,<4,21,>=180
Eastern Sub-Saharan Africa,60-64,Yes,M,Non-smoker,<4,16,160-179
Eastern Sub-Saharan Africa,60-64,Yes,M,Non-smoker,<4,13,140-159
Eastern Sub-Saharan Africa,60-64,Yes,M,Non-smoker,<4,10,120-139
Eastern Sub-Saharan Africa,60-64,Yes,M,Non-smoker,<4,8,<120
Eastern Sub-Saharan Africa,55-59,Yes,M,Non-smoker,<4,17,>=180
Eastern Sub-Saharan Africa,55-59,Yes,M,Non-smoker,<4,13,160-179
Eastern Sub-Saharan Africa,55-59,Yes,M,Non-smoker,<4,10,140-159
Eastern Sub-Saharan Africa,55-59,Yes,M,Non-smoker,<4,8,120-139
Eastern Sub-Saharan Africa,55-59,Yes,M,Non-smoker,<4,6,<120
Eastern Sub-Saharan Africa,50-54,Yes,M,Non-smoker,<4,15,>=180
Eastern Sub-Saharan Africa,50-54,Yes,M,Non-smoker,<4,11,160-179
Eastern Sub-Saharan Africa,50-54,Yes,M,Non-smoker,<4,8,140-159
Eastern Sub-Saharan Africa,50-54,Yes,M,Non-smoker,<4,6,120-139
Eastern Sub-Saharan Africa,50-54,Yes,M,Non-smoker,<4,5,<120
Eastern Sub-Saharan Africa,45-49,Yes,M,Non-smoker,<4,12,>=180
Eastern Sub-Saharan Africa,45-49,Yes,M,Non-smoker,<4,9,160-179
Eastern Sub-Saharan Africa,45-49,Yes,M,Non-smoker,<4,6,140-159
Eastern Sub-Saharan Africa,45-49,Yes,M,Non-smoker,<4,5,120-139
Eastern Sub-Saharan Africa,45-49,Yes,M,Non-smoker,<4,3,<120
Eastern Sub-Saharan Africa,40-44,Yes,M,Non-smoker,<4,10,>=180
Eastern Sub-Saharan Africa,40-44,Yes,M,Non-smoker,<4,7,160-179
Eastern Sub-Saharan Africa,40-44,Yes,M,Non-smoker,<4,5,140-159
Eastern Sub-Saharan Africa,40-44,Yes,M,Non-smoker,<4,4,120-139
Eastern Sub-Saharan Africa,40-44,Yes,M,Non-smoker,<4,3,<120
Southern Sub-Saharan Africa,70-74,No,M,Non-smoker,<4,21,>=180
Southern Sub-Saharan Africa,70-74,No,M,Non-smoker,<4,18,160-179
Southern Sub-Saharan Africa,70-74,No,M,Non-smoker,<4,14,140-159
Southern Sub-Saharan Africa,70-74,No,M,Non-smoker,<4,12,120-139
Southern Sub-Saharan Africa,70-74,No,M,Non-smoker,<4,10,<120
Southern Sub-Saharan Africa,65-69,No,M,Non-smoker,<4,17,>=180
Southern Sub-Saharan Africa,65-69,No,M,Non-smoker,<4,13,160-179
Southern Sub-Saharan Africa,65-69,No,M,Non-smoker,<4,11,140-159
Southern Sub-Saharan Africa,65-69,No,M,Non-smoker,<4,8,120-139
Southern Sub-Saharan Africa,65-69,No,M,Non-smoker,<4,7,<120
Southern Sub-Saharan Africa,60-64,No,M,Non-smoker,<4,13,>=180
Southern Sub-Saharan Africa,60-64,No,M,Non-smoker,<4,10,160-179
Southern Sub-Saharan Africa,60-64,No,M,Non-smoker,<4,8,140-159
Southern Sub-Saharan Africa,60-64,No,M,Non-smoker,<4,6,120-139
Southern Sub-Saharan Africa,60-64,No,M,Non-smoker,<4,5,<120
Southern Sub-Saharan Africa,55-59,No,M,Non-smoker,<4,10,>=180
Southern Sub-Saharan Africa,55-59,No,M,Non-smoker,<4,8,160-179
Southern Sub-Saharan Africa,55-59,No,M,Non-smoker,<4,6,140-159
Southern Sub-Saharan Africa,55-59,No,M,Non-smoker,<4,4,120-139
Southern Sub-Saharan Africa,55-59,No,M,Non-smoker,<4,3,<120
Southern Sub-Saharan Africa,50-54,No,M,Non-smoker,<4,8,>=180
Southern Sub-Saharan Africa,50-54,No,M,Non-smoker,<4,6,160-179
Southern Sub-Saharan Africa,50-54,No,M,Non-smoker,<4,4,140-159
Southern Sub-Saharan Africa,50-54,No,M,Non-smoker,<4,3,120-139
Southern Sub-Saharan Africa,50-54,No,M,Non-smoker,<4,2,<120
Southern Sub-Saharan Africa,45-49,No,M,Non-smoker,<4,6,>=180
Southern Sub-Saharan Africa,45-49,No,M,Non-smoker,<4,4,160-179
Southern Sub-Saharan Africa,45-49,No,M,Non-smoker,<4,3,140-159
Southern Sub-Saharan Africa,45-49,No,M,Non-smoker,<4,2,120-139
Southern Sub-Saharan Africa,45-49,No,M,Non-smoker,<4,2,<120
Southern Sub-Saharan Africa,40-44,No,M,Non-smoker,<4,5,>=180
Southern Sub-Saharan Africa,40-44,No,M,Non-smoker,<4,3,160-179
Southern Sub-Saharan Africa,40-44,No,M,Non-smoker,<4,2,140-159
Southern Sub-Saharan Africa,40-44,No,M,Non-smoker,<4,2,120-139
Southern Sub-Saharan Africa,40-44,No,M,Non-smoker,<4,1,<120
Southern Sub-Saharan Africa,70-74,Yes,M,Non-smoker,<4,29,>=180
Southern Sub-Saharan Africa,70-74,Yes,M,Non-smoker,<4,24,160-179
Southern Sub-Saharan Africa,70-74,Yes,M,Non-smoker,<4,20,140-159
Southern Sub-Saharan Africa,70-74,Yes,M,Non-smoker,<4,16,120-139
Southern Sub-Saharan Africa,70-74,Yes,M,Non-smoker,<4,13,<120
Southern Sub-Saharan Africa,65-69,Yes,M,Non-smoker,<4,24,>=180
Southern Sub-Saharan Africa,65-69,Yes,M,Non-smoker,<4,19,160-179
Southern Sub-Saharan Africa,65-69,Yes,M,Non-smoker,<4,16,140-159
Southern Sub-Saharan Africa,65-69,Yes,M,Non-smoker,<4,12,120-139
Southern Sub-Saharan Africa,65-69,Yes,M,Non-smoker,<4,10,<120
Southern Sub-Saharan Africa,60-64,Yes,M,Non-smoker,<4,20,>=180
Southern Sub-Saharan Africa,60-64,Yes,M,Non-smoker,<4,16,160-179
Southern Sub-Saharan Africa,60-64,Yes,M,Non-smoker,<4,12,140-159
Southern Sub-Saharan Africa,60-64,Yes,M,Non-smoker,<4,10,120-139
Southern Sub-Saharan Africa,60-64,Yes,M,Non-smoker,<4,7,<120
Southern Sub-Saharan Africa,55-59,Yes,M,Non-smoker,<4,16,>=180
Southern Sub-Saharan Africa,55-59,Yes,M,Non-smoker,<4,13,160-179
Southern Sub-Saharan Africa,55-59,Yes,M,Non-smoker,<4,10,140-159
Southern Sub-Saharan Africa,55-59,Yes,M,Non-smoker,<4,7,120-139
Southern Sub-Saharan Africa,55-59,Yes,M,Non-smoker,<4,6,<120
Southern Sub-Saharan Africa,50-54,Yes,M,Non-smoker,<4,14,>=180
Southern Sub-Saharan Africa,50-54,Yes,M,Non-smoker,<4,10,160-179
Southern Sub-Saharan Africa,50-54,Yes,M,Non-smoker,<4,8,140-159
Southern Sub-Saharan Africa,50-54,Yes,M,Non-smoker,<4,6,120-139
Southern Sub-Saharan Africa,50-54,Yes,M,Non-smoker,<4,4,<120
Southern Sub-Saharan Africa,45-49,Yes,M,Non-smoker,<4,11,>=180
Southern Sub-Saharan Africa,45-49,Yes,M,Non-smoker,<4,8,160-179
Southern Sub-Saharan Africa,45-49,Yes,M,Non-smoker,<4,6,140-159
Southern Sub-Saharan Africa,45-49,Yes,M,Non-smoker,<4,4,120-139
Southern Sub-Saharan Africa,45-49,Yes,M,Non-smoker,<4,3,<120
Southern Sub-Saharan Africa,40-44,Yes,M,Non-smoker,<4,9,>=180
Southern Sub-Saharan Africa,40-44,Yes,M,Non-smoker,<4,7,160-179
Southern Sub-Saharan Africa,40-44,Yes,M,Non-smoker,<4,5,140-159
Southern Sub-Saharan Africa,40-44,Yes,M,Non-smoker,<4,3,120-139
Southern Sub-Saharan Africa,40-44,Yes,M,Non-smoker,<4,2,<120
Western Sub-Saharan Africa,70-74,No,M,Non-smoker,<4,22,>=180
Western Sub-Saharan Africa,70-74,No,M,Non-smoker,<4,18,160-179
Western Sub-Saharan Africa,70-74,No,M,Non-smoker,<4,15,140-159
Western Sub-Saharan Africa,70-74,No,M,Non-smoker,<4,12,120-139
Western Sub-Saharan Africa,70-74,No,M,Non-smoker,<4,10,<120
Western Sub-Saharan Africa,65-69,No,M,Non-smoker,<4,17,>=180
Western Sub-Saharan Africa,65-69,No,M,Non-smoker,<4,14,160-179
Western Sub-Saharan Africa,65-69,No,M,Non-smoker,<4,11,140-159
Western Sub-Saharan Africa,65-69,No,M,Non-smoker,<4,9,120-139
Western Sub-Saharan Africa,65-69,No,M,Non-smoker,<4,7,<120
Western Sub-Saharan Africa,60-64,No,M,Non-smoker,<4,13,>=180
Western Sub-Saharan Africa,60-64,No,M,Non-smoker,<4,10,160-179
Western Sub-Saharan Africa,60-64,No,M,Non-smoker,<4,8,140-159
Western Sub-Saharan Africa,60-64,No,M,Non-smoker,<4,6,120-139
Western Sub-Saharan Africa,60-64,No,M,Non-smoker,<4,5,<120
Western Sub-Saharan Africa,55-59,No,M,Non-smoker,<4,10,>=180
Western Sub-Saharan Africa,55-59,No,M,Non-smoker,<4,8,160-179
Western Sub-Saharan Africa,55-59,No,M,Non-smoker,<4,6,140-159
Western Sub-Saharan Africa,55-59,No,M,Non-smoker,<4,4,120-139
Western Sub-Saharan Africa,55-59,No,M,Non-smoker,<4,3,<120
Western Sub-Saharan Africa,50-54,No,M,Non-smoker,<4,8,>=180
Western Sub-Saharan Africa,50-54,No,M,Non-smoker,<4,6,160-179
Western Sub-Saharan Africa,50-54,No,M,Non-smoker,<4,4,140-159
Western Sub-Saharan Africa,50-54,No,M,Non-smoker,<4,3,120-139
Western Sub-Saharan Africa,50-54,No,M,Non-smoker,<4,2,<120
Western Sub-Saharan Africa,45-49,No,M,Non-smoker,<4,6,>=180
Western Sub-Saharan Africa,45-49,No,M,Non-smoker,<4,4,160-179
Western Sub-Saharan Africa,45-49,No,M,Non-smoker,<4,3,140-159
Western Sub-Saharan Africa,45-49,No,M,Non-smoker,<4,2,120-139
Western Sub-Saharan Africa,45-49,No,M,Non-smoker,<4,2,<120
Western Sub-Saharan Africa,40-44,No,M,Non-smoker,<4,5,>=180
Western Sub-Saharan Africa,40-44,No,M,Non-smoker,<4,3,160-179
Western Sub-Saharan Africa,40-44,No,M,Non-smoker,<4,2,140-159
Western Sub-Saharan Africa,40-44,No,M,Non-smoker,<4,2,120-139
Western Sub-Saharan Africa,40-44,No,M,Non-smoker,<4,1,<120
Western Sub-Saharan Africa,70-74,Yes,M,Non-smoker,<4,30,>=180
Western Sub-Saharan Africa,70-74,Yes,M,Non-smoker,<4,25,160-179
Western Sub-Saharan Africa,70-74,Yes,M,Non-smoker,<4,20,140-159
Western Sub-Saharan Africa,70-74,Yes,M,Non-smoker,<4,17,120-139
Western Sub-Saharan Africa,70-74,Yes,M,Non-smoker,<4,14,<120
Western Sub-Saharan Africa,65-69,Yes,M,Non-smoker,<4,25,>=180
Western Sub-Saharan Africa,65-69,Yes,M,Non-smoker,<4,20,160-179
Western Sub-Saharan Africa,65-69,Yes,M,Non-smoker,<4,16,140-159
Western Sub-Saharan Africa,65-69,Yes,M,Non-smoker,<4,13,120-139
Western Sub-Saharan Africa,65-69,Yes,M,Non-smoker,<4,10,<120
Western Sub-Saharan Africa,60-64,Yes,M,Non-smoker,<4,20,>=180
Western Sub-Saharan Africa,60-64,Yes,M,Non-smoker,<4,16,160-179
Western Sub-Saharan Africa,60-64,Yes,M,Non-smoker,<4,13,140-159
Western Sub-Saharan Africa,60-64,Yes,M,Non-smoker,<4,10,120-139
Western Sub-Saharan Africa,60-64,Yes,M,Non-smoker,<4,8,<120
Western Sub-Saharan Africa,55-59,Yes,M,Non-smoker,<4,17,>=180
Western Sub-Saharan Africa,55-59,Yes,M,Non-smoker,<4,13,160-179
Western Sub-Saharan Africa,55-59,Yes,M,Non-smoker,<4,10,140-159
Western Sub-Saharan Africa,55-59,Yes,M,Non-smoker,<4,7,120-139
Western Sub-Saharan Africa,55-59,Yes,M,Non-smoker,<4,6,<120
Western Sub-Saharan Africa,50-54,Yes,M,Non-smoker,<4,14,>=180
Western Sub-Saharan Africa,50-54,Yes,M,Non-smoker,<4,10,160-179
Western Sub-Saharan Africa,50-54,Yes,M,Non-smoker,<4,8,140-159
Western Sub-Saharan Africa,50-54,Yes,M,Non-smoker,<4,6,120-139
Western Sub-Saharan Africa,50-54,Yes,M,Non-smoker,<4,4,<120
Western Sub-Saharan Africa,45-49,Yes,M,Non-smoker,<4,12,>=180
Western Sub-Saharan Africa,45-49,Yes,M,Non-smoker,<4,8,160-179
Western Sub-Saharan Africa,45-49,Yes,M,Non-smoker,<4,6,140-159
Western Sub-Saharan Africa,45-49,Yes,M,Non-smoker,<4,4,120-139
Western Sub-Saharan Africa,45-49,Yes,M,Non-smoker,<4,3,<120
Western Sub-Saharan Africa,40-44,Yes,M,Non-smoker,<4,10,>=180
Western Sub-Saharan Africa,40-44,Yes,M,Non-smoker,<4,7,160-179
Western Sub-Saharan Africa,40-44,Yes,M,Non-smoker,<4,5,140-159
Western Sub-Saharan Africa,40-44,Yes,M,Non-smoker,<4,3,120-139
Western Sub-Saharan Africa,40-44,Yes,M,Non-smoker,<4,2,<120
Southern Latin America,70-74,No,M,Non-smoker,<4,24,>=180
Southern Latin America,70-74,No,M,Non-smoker,<4,20,160-179
Southern Latin America,70-74,No,M,Non-smoker,<4,17,140-159
Southern Latin America,70-74,No,M,Non-smoker,<4,14,120-139
Southern Latin America,70-74,No,M,Non-smoker,<4,12,<120
Southern Latin America,65-69,No,M,Non-smoker,<4,19,>=180
Southern Latin America,65-69,No,M,Non-smoker,<4,15,160-179
Southern Latin America,65-69,No,M,Non-smoker,<4,13,140-159
Southern Latin America,65-69,No,M,Non-smoker,<4,10,120-139
Southern Latin America,65-69,No,M,Non-smoker,<4,8,<120
Southern Latin America,60-64,No,M,Non-smoker,<4,15,>=180
